id	GeneSymbol	10164_Basal_50	BF39_Basal_50	R09076_Basal_50	C1_Basal_50	C1_Nec_50	C2_Basal_50	C2_Nec_50	C3_Basal_50	C3_Nec_50	C4_Basal_50	C4_Nec_50	E1_Basal_50	E1_Nec_50	E2_Basal_50	E2_Nec_50	E3_Basal_50	E3_Nec_50	E4_Basal_50	E4_Nec_50
ENSMMUG00000010258	41334	43	46	12	194	63	77	96	78	74	77	68	25	145	102	277	78	435	33	600
ENSMMUG00000015485	41334	78	28	24	19	63	115	172	29	98	25	78	23	56	19	80	17	71	21	54
ENSMMUG00000015483	41335	776	470	215	762	975	1186	857	1016	936	543	804	429	558	848	904	598	1238	584	425
ENSMMUG00000021547	41336	310	220	89	290	142	367	217	405	185	137	130	194	123	223	157	183	258	280	136
ENSMMUG00000020824	41337	11	10	11	25	29	24	19	29	12	6	22	18	17	27	21	16	19	20	15
ENSMMUG00000004816	41338	403	343	166	476	523	672	529	588	456	322	354	281	331	445	522	269	566	351	342
ENSMMUG00000009758	41339	1909	1110	477	2196	2022	3120	2379	3042	2347	1169	1536	1420	1786	1995	2489	1317	2402	1489	1426
ENSMMUG00000020719	41340	1593	1095	523	1711	2219	2143	2115	2313	2173	1045	1642	1035	1255	1590	2425	1127	3481	1289	1399
ENSMMUG00000013437	41341	2276	1106	648	2558	2025	3301	2510	3021	2510	1237	1987	1353	1912	2572	2260	1465	2320	1813	1512
ENSMMUG00000022143	41342	227	192	186	228	203	199	140	134	160	118	162	113	84	143	143	104	141	131	128
ENSMMUG00000021842	41518	64	468	265	308	191	109	190	81	149	118	290	107	89	246	258	175	206	103	423
ENSMMUG00000004736	41519	5147	3328	1653	5554	5467	7600	6051	7374	5132	3607	4689	3466	4119	4704	6342	3019	6904	3629	4583
ENSMMUG00000008423	41521	43	73	72	79	40	29	75	19	78	20	65	19	26	35	70	39	83	23	71
ENSMMUG00000017134	41522	187	256	346	67	125	64	203	56	162	131	148	82	60	115	84	42	120	58	76
ENSMMUG00000017669	41523	726	1484	1315	1459	1113	694	1406	751	1187	423	1308	536	684	769	1773	570	1360	487	1365
