Probe_Id	Gene_Symbol
ENSMMUG00000010258	41334
ENSMMUG00000015485	41334
ENSMMUG00000015483	41335
ENSMMUG00000021547	41336
ENSMMUG00000020824	41337
ENSMMUG00000004816	41338
ENSMMUG00000009758	41339
ENSMMUG00000020719	41340
ENSMMUG00000013437	41341
ENSMMUG00000022143	41342
ENSMMUG00000021842	41518
ENSMMUG00000004736	41519
ENSMMUG00000008423	41521
ENSMMUG00000017134	41522
ENSMMUG00000017669	41523
ENSMMUG00000006980	41524
ENSMMUG00000010309	41525
ENSMMUG00000017177	41527
ENSMMUG00000017945	41529
ENSMMUG00000019864	41531
ENSMMUG00000016554	41532
ENSMMUG00000029058	1190003J15Rik
ENSMMUG00000013949	1810009A15Rik
ENSMMUG00000000136	4430402I18Rik
ENSMMUG00000005151	4833423E24Rik
ENSMMUG00000003425	4930443G12Rik
ENSMMUG00000014120	9230113P08Rik/Gm3867
ENSMMUG00000007077	A1CF
ENSMMUG00000003238	A2M
ENSMMUG00000022680	A2ML1
ENSMMUG00000010194	A4GALT
ENSMMUG00000022926	A730098P11Rik/Gm6747
ENSMMUG00000011117	AACS
ENSMMUG00000001664	AADAC
ENSMMUG00000012080	AADACL3
ENSMMUG00000019473	AADAT
ENSMMUG00000008295	AAED1
ENSMMUG00000015456	AAGAB
ENSMMUG00000007868	Aak1
ENSMMUG00000010119	AAMDC
ENSMMUG00000022812	AAMP
ENSMMUG00000021653	AARS
ENSMMUG00000014387	AARS2
ENSMMUG00000014123	AARSD1
ENSMMUG00000016360	AASDH
ENSMMUG00000010990	AASDHPPT
ENSMMUG00000021669	AATF
ENSMMUG00000015514	AATK
ENSMMUG00000014813	ABCA12
ENSMMUG00000016191	ABCA13
ENSMMUG00000018286	Abca14
ENSMMUG00000021434	ABCA2
ENSMMUG00000019242	ABCA3
ENSMMUG00000013858	ABCA4
ENSMMUG00000018608	ABCA5
ENSMMUG00000015303	ABCA7
ENSMMUG00000018587	ABCA8
ENSMMUG00000018592	ABCA9
ENSMMUG00000006764	ABCB1
ENSMMUG00000022094	ABCB10
ENSMMUG00000013832	ABCB11
ENSMMUG00000007821	ABCB5
ENSMMUG00000019616	ABCB6
ENSMMUG00000015619	ABCB7
ENSMMUG00000005301	ABCB9
ENSMMUG00000015569	ABCC10
ENSMMUG00000023764	ABCC2
ENSMMUG00000003414	ABCC3
ENSMMUG00000005515	ABCC5
ENSMMUG00000023581	ABCC8
ENSMMUG00000020806	ABCC9
ENSMMUG00000012746	ABCD1
ENSMMUG00000014007	ABCD2
ENSMMUG00000014013	ABCD3
ENSMMUG00000004041	ABCD4
ENSMMUG00000004433	ABCE1
ENSMMUG00000001886	ABCF1
ENSMMUG00000006679	ABCF2
ENSMMUG00000006558	ABCF3
ENSMMUG00000008797	ABCG2
ENSMMUG00000008080	ABCG5
ENSMMUG00000002388	ABHD1
ENSMMUG00000000696	ABHD10
ENSMMUG00000014557	ABHD11
ENSMMUG00000009201	ABHD12
ENSMMUG00000014667	ABHD12B
ENSMMUG00000019657	ABHD14B
ENSMMUG00000019670	ABHD15
ENSMMUG00000015686	ABHD16A
ENSMMUG00000014414	ABHD2
ENSMMUG00000004382	ABHD3
ENSMMUG00000009441	ABHD4
ENSMMUG00000001031	ABHD5
ENSMMUG00000006315	ABHD6
ENSMMUG00000009656	ABHD8
ENSMMUG00000005078	ABI1
ENSMMUG00000000312	Abi2
ENSMMUG00000002437	ABI3
ENSMMUG00000006262	ABL2
ENSMMUG00000013984	ABLIM2
ENSMMUG00000015100	ABO
ENSMMUG00000020435	ABP1
ENSMMUG00000022821	ABRACL
ENSMMUG00000006914	ABT1
ENSMMUG00000000990	ACAA1
ENSMMUG00000003040	ACAA2
ENSMMUG00000009349	ACACA
ENSMMUG00000022698	ACACB
ENSMMUG00000015754	ACAD10
ENSMMUG00000007107	ACAD8
ENSMMUG00000006338	ACAD9
ENSMMUG00000010517	ACADL
ENSMMUG00000007220	ACADM
ENSMMUG00000020648	ACADS
ENSMMUG00000000684	ACADSB
ENSMMUG00000000554	ACAN
ENSMMUG00000006211	ACAP1
ENSMMUG00000013092	ACAP2
ENSMMUG00000013862	ACAP3
ENSMMUG00000004161	ACAT1
ENSMMUG00000030261	ACAT2
ENSMMUG00000019058	ACBD3
ENSMMUG00000013589	ACBD4
ENSMMUG00000016410	ACBD5
ENSMMUG00000012051	ACBD6
ENSMMUG00000019694	ACCS
ENSMMUG00000009805	ACD
ENSMMUG00000012608	ACE
ENSMMUG00000014048	ACE2
ENSMMUG00000005698	ACER1
ENSMMUG00000018168	ACER3
ENSMMUG00000021257	ACHE
ENSMMUG00000012979	ACIN1
ENSMMUG00000005963	ACLY
ENSMMUG00000018931	ACLY
ENSMMUG00000010195	ACMSD
ENSMMUG00000014920	ACN9
ENSMMUG00000008196	ACO1
ENSMMUG00000001454	ACO2
ENSMMUG00000013679	ACOT11
ENSMMUG00000020656	ACOT12
ENSMMUG00000029939	ACOT13
ENSMMUG00000006855	ACOT2
